catalogNumber	scientificName	associatedTaxa	kingdom	phylum	class	order	family	genus	specificEpithet	Comments
374427165	Amoebophrya	Prorocentrum micans	Chromista	Myzozoa	Dinophyceae	Prorocentrales	Prorocentraceae	Prorocentrum	micans	
374427166	Amoebophrya	Prorocentrum micans	Chromista	Myzozoa	Dinophyceae	Prorocentrales	Prorocentraceae	Prorocentrum	micans	
374713547	Amoebophrya	Prorocentrum micans	Chromista	Myzozoa	Dinophyceae	Prorocentrales	Prorocentraceae	Prorocentrum	micans	
1547054789	Amoebophrya	Prorocentrum micans	Chromista	Myzozoa	Dinophyceae	Prorocentrales	Prorocentraceae	Prorocentrum	micans	
2160988630	Amoebophrya	Prorocentrum micans	Chromista	Myzozoa	Dinophyceae	Prorocentrales	Prorocentraceae	Prorocentrum	micans	
19172010	Amoebophrya	Karlodinium micrum	Chromista	Myzozoa	Dinophyceae	Gymnodiniales	Kareniaceae	Karlodinium	micrum	
32395588	Amoebophrya	Prorocentrum minimum	Chromista	Myzozoa	Dinophyceae	Prorocentrales	Prorocentraceae	Prorocentrum	minimum	
1547054814	Amoebophrya	Prorocentrum minimum	Chromista	Myzozoa	Dinophyceae	Prorocentrales	Prorocentraceae	Prorocentrum	minimum	
2160988632	Amoebophrya	Prorocentrum minimum	Chromista	Myzozoa	Dinophyceae	Prorocentrales	Prorocentraceae	Prorocentrum	minimum	
13172261	Amoebophrya	Dinophysis norvegica	Chromista	Myzozoa	Dinophyceae	Dinophysales	Dinophysaceae	Dinophysis	norvegica	
30230498	Amoebophrya	Dinophysis norvegica	Chromista	Myzozoa	Dinophyceae	Dinophysales	Dinophysaceae	Dinophysis	norvegica	
60116760	Amoebophrya	Gonyaulax polygramma	Chromista	Myzozoa	Dinophyceae	Gonyaulacales	Gonyaulacaceae	Gonyaulax	polygramma	
578002897	Amoebophrya	Margalefidinium polykrikoides	Chromista	Myzozoa	Dinophyceae	Gymnodiniales	Gymnodiniaceae	Margalefidinium	polykrikoides	
578002898	Amoebophrya	Margalefidinium polykrikoides	Chromista	Myzozoa	Dinophyceae	Gymnodiniales	Gymnodiniaceae	Margalefidinium	polykrikoides	
374427160	Amoebophrya	Phalacroma rotundatum	Chromista	Myzozoa	Dinophyceae	Dinophysales	Oxyphysaceae	Phalacroma	rotundatum	
374427161	Amoebophrya	Phalacroma rotundatum	Chromista	Myzozoa	Dinophyceae	Dinophysales	Oxyphysaceae	Phalacroma	rotundatum	
374427162	Amoebophrya	Phalacroma rotundatum	Chromista	Myzozoa	Dinophyceae	Dinophysales	Oxyphysaceae	Phalacroma	rotundatum	
374427163	Amoebophrya	Phalacroma rotundatum	Chromista	Myzozoa	Dinophyceae	Dinophysales	Oxyphysaceae	Phalacroma	rotundatum	
374427164	Amoebophrya	Phalacroma rotundatum	Chromista	Myzozoa	Dinophyceae	Dinophysales	Oxyphysaceae	Phalacroma	rotundatum	
4336127	Amoebophrya	Akashiwo sanguinea	Chromista	Myzozoa	Dinophyceae	Gymnodiniales	Gymnodiniaceae	Akashiwo	sanguinea	
299790112	Amoebophrya	Akashiwo sanguinea	Chromista	Myzozoa	Dinophyceae	Gymnodiniales	Gymnodiniaceae	Akashiwo	sanguinea	
451774948	Amoebophrya	Akashiwo sanguinea	Chromista	Myzozoa	Dinophyceae	Gymnodiniales	Gymnodiniaceae	Akashiwo	sanguinea	
984294393	Amoebophrya	Akashiwo sanguinea	Chromista	Myzozoa	Dinophyceae	Gymnodiniales	Gymnodiniaceae	Akashiwo	sanguinea	
984294514	Amoebophrya	Akashiwo sanguinea	Chromista	Myzozoa	Dinophyceae	Gymnodiniales	Gymnodiniaceae	Akashiwo	sanguinea	
984294515	Amoebophrya	Akashiwo sanguinea	Chromista	Myzozoa	Dinophyceae	Gymnodiniales	Gymnodiniaceae	Akashiwo	sanguinea	
1236765626	Amoebophrya	Akashiwo sanguinea	Chromista	Myzozoa	Dinophyceae	Gymnodiniales	Gymnodiniaceae	Akashiwo	sanguinea	
1547054806	Amoebophrya	Akashiwo sanguinea	Chromista	Myzozoa	Dinophyceae	Gymnodiniales	Gymnodiniaceae	Akashiwo	sanguinea	
1547054810	Amoebophrya	Akashiwo sanguinea	Chromista	Myzozoa	Dinophyceae	Gymnodiniales	Gymnodiniaceae	Akashiwo	sanguinea	
1547054811	Amoebophrya	Akashiwo sanguinea	Chromista	Myzozoa	Dinophyceae	Gymnodiniales	Gymnodiniaceae	Akashiwo	sanguinea	
2124747388	Amoebophrya	Akashiwo sanguinea	Chromista	Myzozoa	Dinophyceae	Gymnodiniales	Gymnodiniaceae	Akashiwo	sanguinea	
327335576	Amoebophrya	Alexandrium tamarense	Chromista	Myzozoa	Dinophyceae	Gonyaulacales	Pyrocystaceae	Alexandrium	tamarense	
451774947	Amoebophrya	Prorocentrum triestinum	Chromista	Myzozoa	Dinophyceae	Prorocentrales	Prorocentraceae	Prorocentrum	triestinum	
32395586	Amoebophrya	Ceratium tripos	Chromista	Myzozoa	Dinophyceae	Gonyaulacales	Ceratiaceae	Ceratium	tripos	
1597587325	Amoebophrya	Heterocapsa triquetra	Chromista	Myzozoa	Dinophyceae	Peridiniales	Heterocapsaceae	Heterocapsa	triquetra	
1597587328	Amoebophrya	Heterocapsa triquetra	Chromista	Myzozoa	Dinophyceae	Peridiniales	Heterocapsaceae	Heterocapsa	triquetra	
1597587341	Amoebophrya	Heterocapsa triquetra	Chromista	Myzozoa	Dinophyceae	Peridiniales	Heterocapsaceae	Heterocapsa	triquetra	
1597587363	Amoebophrya	Heterocapsa triquetra	Chromista	Myzozoa	Dinophyceae	Peridiniales	Heterocapsaceae	Heterocapsa	triquetra	
1597587397	Amoebophrya	Heterocapsa triquetra	Chromista	Myzozoa	Dinophyceae	Peridiniales	Heterocapsaceae	Heterocapsa	triquetra	
1597587398	Amoebophrya	Heterocapsa triquetra	Chromista	Myzozoa	Dinophyceae	Peridiniales	Heterocapsaceae	Heterocapsa	triquetra	
1597587409	Amoebophrya	Heterocapsa triquetra	Chromista	Myzozoa	Dinophyceae	Peridiniales	Heterocapsaceae	Heterocapsa	triquetra	
1597587425	Amoebophrya	Heterocapsa triquetra	Chromista	Myzozoa	Dinophyceae	Peridiniales	Heterocapsaceae	Heterocapsa	triquetra	
1597587426	Amoebophrya	Heterocapsa triquetra	Chromista	Myzozoa	Dinophyceae	Peridiniales	Heterocapsaceae	Heterocapsa	triquetra	
1597587433	Amoebophrya	Heterocapsa triquetra	Chromista	Myzozoa	Dinophyceae	Peridiniales	Heterocapsaceae	Heterocapsa	triquetra	
325516425	Amoebophrya	Scrippsiella trochoidea	Chromista	Myzozoa	Dinophyceae	Thoracosphaerales	Thoracosphaeraceae	Scrippsiella	trochoidea	
254933824	Amoebophrya	Karlodinium veneficum	Chromista	Myzozoa	Dinophyceae	Gymnodiniales	Kareniaceae	Karlodinium	veneficum	
19172012	Amoebophrya	Glenodinium	Chromista	Myzozoa	Dinophyceae	Peridiniales	Peridiniales incertae sedis	Glenodinium		
451774949	Amoebophrya	Alexandrium	Chromista	Myzozoa	Dinophyceae	Gonyaulacales	Pyrocystaceae	Alexandrium		
554521741	Amoebophrya	Scrippsiella	Chromista	Myzozoa	Dinophyceae	Thoracosphaerales	Thoracosphaeraceae	Scrippsiella		
1547054795	Amoebophrya	Dinophysis	Chromista	Myzozoa	Dinophyceae	Dinophysales	Dinophysaceae	Dinophysis		
1547054797	Amoebophrya	Dinophysis	Chromista	Myzozoa	Dinophyceae	Dinophysales	Dinophysaceae	Dinophysis		
1547054798	Amoebophrya	Dinophysis	Chromista	Myzozoa	Dinophyceae	Dinophysales	Dinophysaceae	Dinophysis		
1547054799	Amoebophrya	Dinophysis	Chromista	Myzozoa	Dinophyceae	Dinophysales	Dinophysaceae	Dinophysis		
1547054800	Amoebophrya	Dinophysis	Chromista	Myzozoa	Dinophyceae	Dinophysales	Dinophysaceae	Dinophysis		
1547054804	Amoebophrya	Dinophysis	Chromista	Myzozoa	Dinophyceae	Dinophysales	Dinophysaceae	Dinophysis		
1547054805	Amoebophrya	Dinophysis	Chromista	Myzozoa	Dinophyceae	Dinophysales	Dinophysaceae	Dinophysis		
1547054808	Amoebophrya	Dinophysis	Chromista	Myzozoa	Dinophyceae	Dinophysales	Dinophysaceae	Dinophysis		
1597587367	Amoebophrya	Scrippsiella	Chromista	Myzozoa	Dinophyceae	Thoracosphaerales	Thoracosphaeraceae	Scrippsiella		
1597587368	Amoebophrya									
1597587369	Amoebophrya	Scrippsiella	Chromista	Myzozoa	Dinophyceae	Thoracosphaerales	Thoracosphaeraceae	Scrippsiella		
1597587370	Amoebophrya	Scrippsiella	Chromista	Myzozoa	Dinophyceae	Thoracosphaerales	Thoracosphaeraceae	Scrippsiella		
1597587371	Amoebophrya	Scrippsiella	Chromista	Myzozoa	Dinophyceae	Thoracosphaerales	Thoracosphaeraceae	Scrippsiella		
1597587372	Amoebophrya	Scrippsiella	Chromista	Myzozoa	Dinophyceae	Thoracosphaerales	Thoracosphaeraceae	Scrippsiella		
1597587373	Amoebophrya	Scrippsiella	Chromista	Myzozoa	Dinophyceae	Thoracosphaerales	Thoracosphaeraceae	Scrippsiella		
1597587374	Amoebophrya	Scrippsiella	Chromista	Myzozoa	Dinophyceae	Thoracosphaerales	Thoracosphaeraceae	Scrippsiella		
1597587375	Amoebophrya	Scrippsiella	Chromista	Myzozoa	Dinophyceae	Thoracosphaerales	Thoracosphaeraceae	Scrippsiella		
1597587404	Amoebophrya	Scrippsiella	Chromista	Myzozoa	Dinophyceae	Thoracosphaerales	Thoracosphaeraceae	Scrippsiella		
1597587407	Amoebophrya	Scrippsiella	Chromista	Myzozoa	Dinophyceae	Thoracosphaerales	Thoracosphaeraceae	Scrippsiella		
1597587408	Amoebophrya	Scrippsiella	Chromista	Myzozoa	Dinophyceae	Thoracosphaerales	Thoracosphaeraceae	Scrippsiella		
1597587410	Amoebophrya	Scrippsiella	Chromista	Myzozoa	Dinophyceae	Thoracosphaerales	Thoracosphaeraceae	Scrippsiella		
1597587411	Amoebophrya	Scrippsiella	Chromista	Myzozoa	Dinophyceae	Thoracosphaerales	Thoracosphaeraceae	Scrippsiella		
1597587415	Amoebophrya	Scrippsiella	Chromista	Myzozoa	Dinophyceae	Thoracosphaerales	Thoracosphaeraceae	Scrippsiella		
1597587422	Amoebophrya	Scrippsiella	Chromista	Myzozoa	Dinophyceae	Thoracosphaerales	Thoracosphaeraceae	Scrippsiella		
1597587423	Amoebophrya	Scrippsiella	Chromista	Myzozoa	Dinophyceae	Thoracosphaerales	Thoracosphaeraceae	Scrippsiella		
1597587434	Amoebophrya	Scrippsiella	Chromista	Myzozoa	Dinophyceae	Thoracosphaerales	Thoracosphaeraceae	Scrippsiella		
1607220047	Amoebophrya									
2160988633	Amoebophrya	Scrippsiella	Chromista	Myzozoa	Dinophyceae	Thoracosphaerales	Thoracosphaeraceae	Scrippsiella		
1359934829	Amoeboradix gromovii	Tribonema gayanum	Chromista	Ochrophyta	Xanthophyceae	Tribonematales	Tribonemataceae	Tribonema	gayanum	
1359934830	Amoeboradix gromovii	Tribonema gayanum	Chromista	Ochrophyta	Xanthophyceae	Tribonematales	Tribonemataceae	Tribonema	gayanum	
1359934831	Amoeboradix gromovii	Tribonema gayanum	Chromista	Ochrophyta	Xanthophyceae	Tribonematales	Tribonemataceae	Tribonema	gayanum	
1866582672	Angulomyces	Haematococcus	Plantae	Chlorophyta	Chlorophyceae	Chlamydomonadales	Haematococcaceae	Haematococcus		
1113729006	Anisolpidium ectocarpi	Pylaiella littoralis	Chromista	Ochrophyta	Phaeophyceae	Ectocarpales	Acinetosporaceae	Pylaiella	littoralis	
1113017085	Anisolpidium rosenvingei	Pylaiella littoralis	Chromista	Ochrophyta	Phaeophyceae	Ectocarpales	Acinetosporaceae	Pylaiella	littoralis	
1113729001	Anisolpidium rosenvingei	Pylaiella littoralis	Chromista	Ochrophyta	Phaeophyceae	Ectocarpales	Acinetosporaceae	Pylaiella	littoralis	
1951310290	Aphanomycopsis bacillariacearum	Pinnularia viridis	Chromista	Bacillariophyta	Bacillariophyceae	Naviculales	Pinnulariaceae	Pinnularia	viridis	
633288236	Aphelidium	Tribonema gayanum	Chromista	Ochrophyta	Xanthophyceae	Tribonematales	Tribonemataceae	Tribonema	gayanum	
1778215144	Aphelidium arduennense	Tribonema gayanum	Chromista	Ochrophyta	Xanthophyceae	Tribonematales	Tribonemataceae	Tribonema	gayanum	
1850111745	Aphelidium collabens	Coccomyxa	Plantae	Chlorophyta	Trebouxiophyceae	Trebouxiophyceae ordo incertae sedis	Coccomyxaceae	Coccomyxa		
1850111746	Aphelidium collabens	Coccomyxa	Plantae	Chlorophyta	Trebouxiophyceae	Trebouxiophyceae ordo incertae sedis	Coccomyxaceae	Coccomyxa		
1922057587	Aphelidium insulamus	Tribonema gayanum	Chromista	Ochrophyta	Xanthophyceae	Tribonematales	Tribonemataceae	Tribonema	gayanum	
1941833800	Aphelidium insulamus	Tribonema gayanum	Chromista	Ochrophyta	Xanthophyceae	Tribonematales	Tribonemataceae	Tribonema	gayanum	
2250715801	Aphelidium parallelum	Monoraphidium	Plantae	Chlorophyta	Chlorophyceae	Sphaeropleales	Selenastraceae	Monoraphidium		
2250715802	Aphelidium parallelum	Monoraphidium	Plantae	Chlorophyta	Chlorophyceae	Sphaeropleales	Selenastraceae	Monoraphidium		
2250715803	Aphelidium parallelum	Monoraphidium	Plantae	Chlorophyta	Chlorophyceae	Sphaeropleales	Selenastraceae	Monoraphidium		
1134943631	Aphelidium tribonematis	Tribonema gayanum	Chromista	Ochrophyta	Xanthophyceae	Tribonematales	Tribonemataceae	Tribonema	gayanum	
1516391835	Apiochytrium granulosporum	Tribonema gayanum	Chromista	Ochrophyta	Xanthophyceae	Tribonematales	Tribonemataceae	Tribonema	gayanum	
1516391836	Apiochytrium granulosporum	Tribonema gayanum	Chromista	Ochrophyta	Xanthophyceae	Tribonematales	Tribonemataceae	Tribonema	gayanum	
669632911	Aplanochytrium	Elachista antarctica	Chromista	Ochrophyta	Phaeophyceae	Ectocarpales	Chordariaceae	Elachista	antarctica	
1866582717	Aquamyces	Haematococcus	Plantae	Chlorophyta	Chlorophyceae	Chlamydomonadales	Haematococcaceae	Haematococcus		
1866582673	Boothiomyces	Haematococcus	Plantae	Chlorophyta	Chlorophyceae	Chlamydomonadales	Haematococcaceae	Haematococcus		
1866582684	Catenaria	Haematococcus	Plantae	Chlorophyta	Chlorophyceae	Chlamydomonadales	Haematococcaceae	Haematococcus		
1866582715	Catenaria	Haematococcus	Plantae	Chlorophyta	Chlorophyceae	Chlamydomonadales	Haematococcaceae	Haematococcus		
1866582716	Catenaria	Haematococcus	Plantae	Chlorophyta	Chlorophyceae	Chlamydomonadales	Haematococcaceae	Haematococcus		
1866582636	Catenochytridium	Eriocaulon	Plantae	Tracheophyta	Liliopsida	Poales	Eriocaulaceae	Eriocaulon		
1866582650	Chytridiaceae	Haematococcus	Plantae	Chlorophyta	Chlorophyceae	Chlamydomonadales	Haematococcaceae	Haematococcus		
1866582670	Chytridiaceae	Haematococcus	Plantae	Chlorophyta	Chlorophyceae	Chlamydomonadales	Haematococcaceae	Haematococcus		
1866582671	Chytridiaceae	Haematococcus	Plantae	Chlorophyta	Chlorophyceae	Chlamydomonadales	Haematococcaceae	Haematococcus		
1866582801	Chytridiaceae	Unidentified green macroalgae	Plantae	Chlorophyta						
1933067151	Chytridiales	Aulacoseira ambigua	Chromista	Bacillariophyta	Bacillariophyceae	Aulacoseirales	Aulacoseiraceae	Aulacoseira	ambigua	
1933067152	Chytridiales	Aulacoseira ambigua	Chromista	Bacillariophyta	Bacillariophyceae	Aulacoseirales	Aulacoseiraceae	Aulacoseira	ambigua	
1933067153	Chytridiales	Aulacoseira ambigua	Chromista	Bacillariophyta	Bacillariophyceae	Aulacoseirales	Aulacoseiraceae	Aulacoseira	ambigua	
1933067154	Chytridiales	Aulacoseira ambigua	Chromista	Bacillariophyta	Bacillariophyceae	Aulacoseirales	Aulacoseiraceae	Aulacoseira	ambigua	
1933067155	Chytridiales	Aulacoseira ambigua	Chromista	Bacillariophyta	Bacillariophyceae	Aulacoseirales	Aulacoseiraceae	Aulacoseira	ambigua	
1933067156	Chytridiales	Aulacoseira ambigua	Chromista	Bacillariophyta	Bacillariophyceae	Aulacoseirales	Aulacoseiraceae	Aulacoseira	ambigua	
1933067158	Chytridiales	Aulacoseira ambigua	Chromista	Bacillariophyta	Bacillariophyceae	Aulacoseirales	Aulacoseiraceae	Aulacoseira	ambigua	
1933067159	Chytridiales	Aulacoseira ambigua	Chromista	Bacillariophyta	Bacillariophyceae	Aulacoseirales	Aulacoseiraceae	Aulacoseira	ambigua	
1933067162	Chytridiales	Aulacoseira ambigua	Chromista	Bacillariophyta	Bacillariophyceae	Aulacoseirales	Aulacoseiraceae	Aulacoseira	ambigua	
1933067163	Chytridiales	Aulacoseira ambigua	Chromista	Bacillariophyta	Bacillariophyceae	Aulacoseirales	Aulacoseiraceae	Aulacoseira	ambigua	
1933067167	Chytridiales	Aulacoseira ambigua	Chromista	Bacillariophyta	Bacillariophyceae	Aulacoseirales	Aulacoseiraceae	Aulacoseira	ambigua	
1933067205	Chytridiales	Aulacoseira ambigua	Chromista	Bacillariophyta	Bacillariophyceae	Aulacoseirales	Aulacoseiraceae	Aulacoseira	ambigua	
1933067206	Chytridiales	Aulacoseira ambigua	Chromista	Bacillariophyta	Bacillariophyceae	Aulacoseirales	Aulacoseiraceae	Aulacoseira	ambigua	
1933067207	Chytridiales	Aulacoseira ambigua	Chromista	Bacillariophyta	Bacillariophyceae	Aulacoseirales	Aulacoseiraceae	Aulacoseira	ambigua	
1933067208	Chytridiales	Aulacoseira ambigua	Chromista	Bacillariophyta	Bacillariophyceae	Aulacoseirales	Aulacoseiraceae	Aulacoseira	ambigua	
1933067209	Chytridiales	Aulacoseira ambigua	Chromista	Bacillariophyta	Bacillariophyceae	Aulacoseirales	Aulacoseiraceae	Aulacoseira	ambigua	
1933067211	Chytridiales	Aulacoseira ambigua	Chromista	Bacillariophyta	Bacillariophyceae	Aulacoseirales	Aulacoseiraceae	Aulacoseira	ambigua	
1933067212	Chytridiales	Aulacoseira ambigua	Chromista	Bacillariophyta	Bacillariophyceae	Aulacoseirales	Aulacoseiraceae	Aulacoseira	ambigua	
1933067213	Chytridiales	Aulacoseira ambigua	Chromista	Bacillariophyta	Bacillariophyceae	Aulacoseirales	Aulacoseiraceae	Aulacoseira	ambigua	
1933067216	Chytridiales	Aulacoseira ambigua	Chromista	Bacillariophyta	Bacillariophyceae	Aulacoseirales	Aulacoseiraceae	Aulacoseira	ambigua	
1933067217	Chytridiales	Aulacoseira ambigua	Chromista	Bacillariophyta	Bacillariophyceae	Aulacoseirales	Aulacoseiraceae	Aulacoseira	ambigua	
1933067221	Chytridiales	Aulacoseira ambigua	Chromista	Bacillariophyta	Bacillariophyceae	Aulacoseirales	Aulacoseiraceae	Aulacoseira	ambigua	
1933067266	Chytridiales	Aulacoseira ambigua	Chromista	Bacillariophyta	Bacillariophyceae	Aulacoseirales	Aulacoseiraceae	Aulacoseira	ambigua	
1933067267	Chytridiales	Aulacoseira ambigua	Chromista	Bacillariophyta	Bacillariophyceae	Aulacoseirales	Aulacoseiraceae	Aulacoseira	ambigua	
1933067268	Chytridiales	Aulacoseira ambigua	Chromista	Bacillariophyta	Bacillariophyceae	Aulacoseirales	Aulacoseiraceae	Aulacoseira	ambigua	
1933067269	Chytridiales	Aulacoseira ambigua	Chromista	Bacillariophyta	Bacillariophyceae	Aulacoseirales	Aulacoseiraceae	Aulacoseira	ambigua	
1933067270	Chytridiales	Aulacoseira ambigua	Chromista	Bacillariophyta	Bacillariophyceae	Aulacoseirales	Aulacoseiraceae	Aulacoseira	ambigua	
1933067271	Chytridiales	Aulacoseira ambigua	Chromista	Bacillariophyta	Bacillariophyceae	Aulacoseirales	Aulacoseiraceae	Aulacoseira	ambigua	
1933067274	Chytridiales	Aulacoseira ambigua	Chromista	Bacillariophyta	Bacillariophyceae	Aulacoseirales	Aulacoseiraceae	Aulacoseira	ambigua	
1933067275	Chytridiales	Aulacoseira ambigua	Chromista	Bacillariophyta	Bacillariophyceae	Aulacoseirales	Aulacoseiraceae	Aulacoseira	ambigua	
1933067279	Chytridiales	Aulacoseira ambigua	Chromista	Bacillariophyta	Bacillariophyceae	Aulacoseirales	Aulacoseiraceae	Aulacoseira	ambigua	
1933067157	Chytridiales	Aulacoseira granulata	Chromista	Bacillariophyta	Bacillariophyceae	Aulacoseirales	Aulacoseiraceae	Aulacoseira	granulata	
1933067160	Chytridiales	Aulacoseira granulata	Chromista	Bacillariophyta	Bacillariophyceae	Aulacoseirales	Aulacoseiraceae	Aulacoseira	granulata	
1933067161	Chytridiales	Aulacoseira granulata	Chromista	Bacillariophyta	Bacillariophyceae	Aulacoseirales	Aulacoseiraceae	Aulacoseira	granulata	
1933067164	Chytridiales	Aulacoseira granulata	Chromista	Bacillariophyta	Bacillariophyceae	Aulacoseirales	Aulacoseiraceae	Aulacoseira	granulata	
1933067165	Chytridiales	Aulacoseira granulata	Chromista	Bacillariophyta	Bacillariophyceae	Aulacoseirales	Aulacoseiraceae	Aulacoseira	granulata	
1933067166	Chytridiales	Aulacoseira granulata	Chromista	Bacillariophyta	Bacillariophyceae	Aulacoseirales	Aulacoseiraceae	Aulacoseira	granulata	
1933067210	Chytridiales	Aulacoseira granulata	Chromista	Bacillariophyta	Bacillariophyceae	Aulacoseirales	Aulacoseiraceae	Aulacoseira	granulata	
1933067214	Chytridiales	Aulacoseira granulata	Chromista	Bacillariophyta	Bacillariophyceae	Aulacoseirales	Aulacoseiraceae	Aulacoseira	granulata	
1933067215	Chytridiales	Aulacoseira granulata	Chromista	Bacillariophyta	Bacillariophyceae	Aulacoseirales	Aulacoseiraceae	Aulacoseira	granulata	
1933067218	Chytridiales	Aulacoseira granulata	Chromista	Bacillariophyta	Bacillariophyceae	Aulacoseirales	Aulacoseiraceae	Aulacoseira	granulata	
1933067219	Chytridiales	Aulacoseira granulata	Chromista	Bacillariophyta	Bacillariophyceae	Aulacoseirales	Aulacoseiraceae	Aulacoseira	granulata	
1933067220	Chytridiales	Aulacoseira granulata	Chromista	Bacillariophyta	Bacillariophyceae	Aulacoseirales	Aulacoseiraceae	Aulacoseira	granulata	
1933067272	Chytridiales	Aulacoseira granulata	Chromista	Bacillariophyta	Bacillariophyceae	Aulacoseirales	Aulacoseiraceae	Aulacoseira	granulata	
1933067273	Chytridiales	Aulacoseira granulata	Chromista	Bacillariophyta	Bacillariophyceae	Aulacoseirales	Aulacoseiraceae	Aulacoseira	granulata	
1933067276	Chytridiales	Aulacoseira granulata	Chromista	Bacillariophyta	Bacillariophyceae	Aulacoseirales	Aulacoseiraceae	Aulacoseira	granulata	
1933067277	Chytridiales	Aulacoseira granulata	Chromista	Bacillariophyta	Bacillariophyceae	Aulacoseirales	Aulacoseiraceae	Aulacoseira	granulata	
1933067278	Chytridiales	Aulacoseira granulata	Chromista	Bacillariophyta	Bacillariophyceae	Aulacoseirales	Aulacoseiraceae	Aulacoseira	granulata	
365822612	Chytridiales	Isoëtes lacustris	Plantae	Tracheophyta	Lycopodiopsida	Isoetales	Isoetaceae	Isoëtes	lacustris	
365822613	Chytridiales	Isoëtes lacustris	Plantae	Tracheophyta	Lycopodiopsida	Isoetales	Isoetaceae	Isoëtes	lacustris	
365822614	Chytridiales	Isoëtes lacustris	Plantae	Tracheophyta	Lycopodiopsida	Isoetales	Isoetaceae	Isoëtes	lacustris	
365822615	Chytridiales	Isoëtes lacustris	Plantae	Tracheophyta	Lycopodiopsida	Isoetales	Isoetaceae	Isoëtes	lacustris	
1389937905	Chytridiales	Staurastrum	Plantae	Charophyta	Zygnematophyceae	Desmidiales	Desmidiaceae	Staurastrum		
2165380891	Chytridiales	Staurastrum	Plantae	Charophyta	Zygnematophyceae	Desmidiales	Desmidiaceae	Staurastrum		
2200811372	Chytridiales	Staurastrum	Plantae	Charophyta	Zygnematophyceae	Desmidiales	Desmidiaceae	Staurastrum		
1933067188	Chytridiomycetes	Aulacoseira ambigua	Chromista	Bacillariophyta	Bacillariophyceae	Aulacoseirales	Aulacoseiraceae	Aulacoseira	ambigua	
1933067244	Chytridiomycetes	Aulacoseira ambigua	Chromista	Bacillariophyta	Bacillariophyceae	Aulacoseirales	Aulacoseiraceae	Aulacoseira	ambigua	
1933067246	Chytridiomycetes	Aulacoseira ambigua	Chromista	Bacillariophyta	Bacillariophyceae	Aulacoseirales	Aulacoseiraceae	Aulacoseira	ambigua	
1933067300	Chytridiomycetes	Aulacoseira ambigua	Chromista	Bacillariophyta	Bacillariophyceae	Aulacoseirales	Aulacoseiraceae	Aulacoseira	ambigua	
1933067304	Chytridiomycetes	Aulacoseira ambigua	Chromista	Bacillariophyta	Bacillariophyceae	Aulacoseirales	Aulacoseiraceae	Aulacoseira	ambigua	
1933067178	Chytridiomycetes	Aulacoseira granulata	Chromista	Bacillariophyta	Bacillariophyceae	Aulacoseirales	Aulacoseiraceae	Aulacoseira	granulata	
1933067179	Chytridiomycetes	Aulacoseira granulata	Chromista	Bacillariophyta	Bacillariophyceae	Aulacoseirales	Aulacoseiraceae	Aulacoseira	granulata	
1933067180	Chytridiomycetes	Aulacoseira granulata	Chromista	Bacillariophyta	Bacillariophyceae	Aulacoseirales	Aulacoseiraceae	Aulacoseira	granulata	
1933067181	Chytridiomycetes	Aulacoseira granulata	Chromista	Bacillariophyta	Bacillariophyceae	Aulacoseirales	Aulacoseiraceae	Aulacoseira	granulata	
1933067182	Chytridiomycetes	Aulacoseira granulata	Chromista	Bacillariophyta	Bacillariophyceae	Aulacoseirales	Aulacoseiraceae	Aulacoseira	granulata	
1933067183	Chytridiomycetes	Aulacoseira granulata	Chromista	Bacillariophyta	Bacillariophyceae	Aulacoseirales	Aulacoseiraceae	Aulacoseira	granulata	
1933067184	Chytridiomycetes	Aulacoseira granulata	Chromista	Bacillariophyta	Bacillariophyceae	Aulacoseirales	Aulacoseiraceae	Aulacoseira	granulata	
1933067185	Chytridiomycetes	Aulacoseira granulata	Chromista	Bacillariophyta	Bacillariophyceae	Aulacoseirales	Aulacoseiraceae	Aulacoseira	granulata	
1933067186	Chytridiomycetes	Aulacoseira granulata	Chromista	Bacillariophyta	Bacillariophyceae	Aulacoseirales	Aulacoseiraceae	Aulacoseira	granulata	
1933067187	Chytridiomycetes	Aulacoseira granulata	Chromista	Bacillariophyta	Bacillariophyceae	Aulacoseirales	Aulacoseiraceae	Aulacoseira	granulata	
1933067234	Chytridiomycetes	Aulacoseira granulata	Chromista	Bacillariophyta	Bacillariophyceae	Aulacoseirales	Aulacoseiraceae	Aulacoseira	granulata	
1933067235	Chytridiomycetes	Aulacoseira granulata	Chromista	Bacillariophyta	Bacillariophyceae	Aulacoseirales	Aulacoseiraceae	Aulacoseira	granulata	
1933067236	Chytridiomycetes	Aulacoseira granulata	Chromista	Bacillariophyta	Bacillariophyceae	Aulacoseirales	Aulacoseiraceae	Aulacoseira	granulata	
1933067237	Chytridiomycetes	Aulacoseira granulata	Chromista	Bacillariophyta	Bacillariophyceae	Aulacoseirales	Aulacoseiraceae	Aulacoseira	granulata	
1933067238	Chytridiomycetes	Aulacoseira granulata	Chromista	Bacillariophyta	Bacillariophyceae	Aulacoseirales	Aulacoseiraceae	Aulacoseira	granulata	
1933067239	Chytridiomycetes	Aulacoseira granulata	Chromista	Bacillariophyta	Bacillariophyceae	Aulacoseirales	Aulacoseiraceae	Aulacoseira	granulata	
1933067240	Chytridiomycetes	Aulacoseira granulata	Chromista	Bacillariophyta	Bacillariophyceae	Aulacoseirales	Aulacoseiraceae	Aulacoseira	granulata	
